country,income_1980,income_1990,income_2000,income_2008,income_2010,income_2015,income_2020,hdi_1990,hdi_2000,hdi_2010,hdi_2015,gini_1980,gini_1990,gini_2000,gini_2010,gini_2020,life_exp_1980,life_exp_1990,life_exp_2000,life_exp_2008,bmi_1980,bmi_1990,bmi_2000,bmi_2008,co2_1980,co2_1990,co2_2000,co2_2008
Cambodia,811.0,863.0,1390.0,2450.0,2520.0,3290.0,4290.0,0.35700000000000004,0.41200000000000003,0.5329999999999999,0.563,42.0,42.0,42.0,42.0,42.0,52.8,57.6,60.2,66.0,19.65,20.0,20.6,21.25,0.0427,0.141,0.163,0.281
Cameroon,2860.0,3000.0,2560.0,2880.0,2880.0,3220.0,3460.0,0.444,0.43700000000000006,0.486,0.518,29.7,38.5,42.7,44.5,46.6,54.9,57.7,54.8,56.3,21.65,22.6,23.299999999999997,24.299999999999997,0.45299999999999996,0.147,0.221,0.28800000000000003
Canada,27100.0,31400.0,37500.0,41600.0,40700.0,43100.0,44500.0,0.8490000000000001,0.867,0.903,0.92,32.6,31.2,33.3,33.7,31.1,75.2,77.3,79.2,80.8,24.65,25.6,26.55,27.049999999999997,18.2,15.8,17.5,16.8
Central African Republic,1200.0,983.0,851.0,888.0,982.0,703.0,817.0,0.32,0.314,0.361,0.35200000000000004,66.1,61.4,48.9,56.2,56.2,48.6,47.2,44.3,46.7,20.45,20.65,21.1,21.7,0.0483,0.0706,0.0735,0.0592
Chile,7910.0,8970.0,14200.0,19000.0,19400.0,22300.0,23300.0,0.7,0.7609999999999999,0.82,0.847,55.8,56.3,53.3,48.2,47.7,69.9,73.2,76.9,78.8,24.25,25.15,26.549999999999997,27.45,2.21,2.51,3.83,4.3
China,1080.0,1520.0,3690.0,7930.0,9500.0,13500.0,18100.0,0.499,0.5920000000000001,0.7,0.738,24.5,32.0,39.3,42.5,39.1,65.8,68.7,72.1,75.4,21.75,22.0,22.55,22.9,1.47,2.08,2.64,5.58
Colombia,6800.0,7730.0,8410.0,10600.0,11000.0,13100.0,14000.0,0.5920000000000001,0.653,0.7,0.727,54.3,50.7,57.7,54.2,50.8,69.0,71.4,74.1,77.6,22.75,23.9,24.950000000000003,25.549999999999997,1.65,1.73,1.46,1.54
"Congo, Dem. Rep.",1630.0,1390.0,573.0,640.0,660.0,812.0,845.0,0.35600000000000004,0.331,0.39799999999999996,0.435,42.3,42.3,42.2,42.1,42.1,52.7,53.9,53.8,56.8,20.3,20.6,20.4,20.799999999999997,0.133,0.11800000000000001,0.0173,0.0308
"Congo, Rep.",4320.0,5320.0,4620.0,4850.0,5320.0,5700.0,5110.0,0.521,0.48700000000000004,0.5579999999999999,0.5920000000000001,44.6,45.7,46.8,48.6,48.9,52.8,53.8,52.8,58.3,20.200000000000003,21.1,21.7,22.5,0.22899999999999998,0.504,0.335,0.326
Costa Rica,7870.0,7740.0,9790.0,12700.0,12900.0,14600.0,16000.0,0.653,0.708,0.752,0.7759999999999999,46.9,45.4,48.8,48.9,48.7,74.5,76.5,77.9,80.2,23.549999999999997,24.55,25.85,26.75,1.03,0.9470000000000001,1.38,1.82
Cote d'Ivoire,5050.0,3290.0,2990.0,2660.0,2670.0,3230.0,4090.0,0.389,0.395,0.441,0.474,47.6,38.4,40.2,42.7,41.5,55.8,54.8,52.3,56.3,21.200000000000003,21.8,22.45,23.200000000000003,0.775,0.42200000000000004,0.413,0.34600000000000003
Cuba,5980.0,6860.0,4880.0,6340.0,6700.0,7890.0,8370.0,0.6759999999999999,0.6859999999999999,0.78,0.775,40.0,41.1,42.2,43.3,43.4,74.1,74.8,76.8,78.3,23.25,24.3,24.75,25.85,3.19,3.15,2.34,2.71
Cyprus,12900.0,22500.0,29400.0,36000.0,33900.0,30700.0,35100.0,0.733,0.8,0.847,0.856,30.1,30.1,30.1,32.4,34.0,73.8,75.9,76.8,79.3,24.55,25.299999999999997,26.15,26.65,4.68,5.71,7.35,7.93
Czech Republic,17000.0,20000.0,21200.0,29400.0,28400.0,30600.0,35000.0,0.7609999999999999,0.821,0.861,0.878,18.5,22.3,26.7,26.3,25.9,70.2,71.5,75.0,77.2,26.55,26.75,26.85,27.2,17.9,16.0,12.0,11.2
Denmark,27700.0,33800.0,42300.0,45900.0,44000.0,45800.0,48900.0,0.799,0.862,0.91,0.925,27.5,23.7,24.6,26.8,28.2,74.2,75.0,77.0,78.8,24.0,24.299999999999997,24.950000000000003,25.6,11.8,9.77,9.61,8.54
Dominican Republic,5370.0,5520.0,8290.0,10700.0,11400.0,13700.0,17100.0,0.596,0.6559999999999999,0.703,0.722,43.7,50.6,50.6,47.2,45.3,70.3,72.0,73.9,73.8,22.75,23.7,24.85,26.049999999999997,1.11,1.29,2.34,2.19
Ecuador,7800.0,7460.0,7360.0,9230.0,9310.0,10700.0,10100.0,0.643,0.67,0.71,0.7390000000000001,46.1,51.7,54.9,47.8,45.0,68.3,72.0,74.2,74.2,24.25,24.950000000000003,25.7,26.35,1.68,1.64,1.63,2.33
Egypt,5060.0,5900.0,7500.0,9460.0,10000.0,10200.0,11800.0,0.547,0.612,0.6709999999999999,0.691,29.3,31.8,32.3,31.2,31.8,58.0,64.4,68.7,69.4,24.85,26.15,27.5,28.4,1.04,1.35,2.05,2.49
El Salvador,5110.0,4510.0,5610.0,6310.0,6280.0,6980.0,7610.0,0.529,0.615,0.6659999999999999,0.68,46.7,53.8,52.3,44.1,40.0,65.8,69.2,72.4,73.0,23.75,24.65,25.95,27.1,0.465,0.47700000000000004,0.975,1.07
Fiji,5130.0,5890.0,6680.0,7370.0,7350.0,8780.0,10200.0,0.6409999999999999,0.6829999999999999,0.7090000000000001,0.736,37.8,37.8,38.0,39.4,36.7,67.1,67.7,65.9,67.0,22.9,24.6,26.4,27.9,1.25,1.12,1.04,1.06
Finland,21800.0,28900.0,34900.0,42600.0,39800.0,39100.0,42900.0,0.7829999999999999,0.856,0.878,0.895,22.7,22.4,26.8,27.5,27.1,73.7,75.1,77.8,79.8,25.25,25.45,25.75,26.15,12.2,10.4,10.1,10.6
France,24500.0,29500.0,34700.0,37600.0,36800.0,37800.0,40400.0,0.779,0.8490000000000001,0.882,0.897,33.7,31.9,31.8,33.2,32.7,74.5,77.0,79.1,81.1,24.4,24.7,25.049999999999997,25.35,9.38,6.63,6.14,5.89
Gabon,21700.0,19600.0,17800.0,15500.0,15500.0,16700.0,16500.0,0.62,0.633,0.664,0.6970000000000001,59.6,52.7,45.7,40.5,38.0,58.3,60.0,59.3,61.2,22.1,22.95,24.05,25.0,9.13,4.74,3.82,2.75
Gambia,1430.0,1450.0,1450.0,1450.0,1550.0,1480.0,1620.0,0.33,0.384,0.441,0.452,39.6,43.1,48.1,43.9,35.9,57.1,59.9,61.7,63.0,19.95,20.9,22.049999999999997,23.200000000000003,0.247,0.184,0.18600000000000003,0.217
Germany,28000.0,31300.0,36800.0,41000.0,40400.0,44000.0,46700.0,0.8009999999999999,0.86,0.912,0.9259999999999999,28.9,29.0,29.5,30.6,31.7,73.2,75.5,78.3,80.2,25.1,25.55,26.1,26.45,14.1,12.8,10.2,9.63
Ghana,1990.0,1900.0,2220.0,2810.0,3030.0,3790.0,4590.0,0.455,0.485,0.5539999999999999,0.579,39.8,36.8,40.5,42.5,42.4,58.0,59.2,59.4,60.8,20.95,21.5,22.65,23.55,0.23199999999999998,0.258,0.326,0.38799999999999996
Greece,18100.0,20700.0,24800.0,31900.0,28700.0,24100.0,26300.0,0.76,0.8009999999999999,0.86,0.866,37.5,35.5,33.1,34.5,36.0,77.6,77.5,78.8,79.8,24.450000000000003,24.75,25.15,25.6,5.34,7.26,8.27,8.69
Guatemala,6240.0,5100.0,6070.0,6780.0,6710.0,7290.0,7720.0,0.478,0.546,0.609,0.64,52.3,58.9,54.6,51.4,48.3,57.4,63.0,68.0,71.4,23.049999999999997,24.049999999999997,25.1,26.05,0.619,0.5489999999999999,0.851,0.816
Guinea,1290.0,1340.0,1520.0,1680.0,1670.0,1860.0,2500.0,0.271,0.322,0.385,0.414,49.5,46.9,44.2,36.0,33.7,48.0,51.9,54.4,56.7,20.75,21.2,21.85,22.45,0.198,0.158,0.19899999999999998,0.225
Guyana,3850.0,2880.0,4620.0,5420.0,5830.0,7090.0,8200.0,0.541,0.606,0.624,0.638,43.9,44.3,43.5,43.2,43.2,64.5,65.5,66.2,68.0,23.15,23.55,24.5,25.1,2.29,1.52,2.16,2.09
Haiti,2770.0,2110.0,1760.0,1600.0,1510.0,1650.0,1640.0,0.408,0.44299999999999995,0.47,0.493,57.7,55.8,59.1,52.5,50.9,50.7,54.5,57.4,60.9,21.85,22.25,22.799999999999997,23.5,0.133,0.141,0.162,0.249
Honduras,3660.0,3210.0,3300.0,4030.0,3910.0,4250.0,4720.0,0.507,0.557,0.611,0.625,63.4,56.1,55.8,54.4,50.1,65.7,68.9,70.4,72.5,23.05,24.0,25.1,25.9,0.5589999999999999,0.523,0.765,1.09
Hungary,16300.0,17200.0,18000.0,23700.0,22400.0,25100.0,30600.0,0.703,0.769,0.821,0.836,19.6,25.5,27.0,28.8,30.4,69.2,69.5,71.8,74.0,25.200000000000003,25.7,25.9,26.55,8.08,6.71,5.46,5.49
Iceland,24600.0,30100.0,35000.0,44700.0,40100.0,44200.0,47700.0,0.797,0.8540000000000001,0.894,0.9209999999999999,25.8,25.8,26.6,28.0,27.8,76.5,77.8,80.1,82.0,24.450000000000003,25.2,25.85,26.6,8.18,7.84,7.71,6.82
India,1330.0,1910.0,2710.0,3910.0,4450.0,5740.0,7630.0,0.428,0.494,0.58,0.624,32.0,32.4,32.9,34.9,35.1,55.0,59.6,62.9,66.2,20.8,20.65,20.85,21.15,0.449,0.7090000000000001,0.977,1.31
Indonesia,3390.0,4630.0,5810.0,7820.0,8460.0,10400.0,12500.0,0.528,0.604,0.662,0.6890000000000001,34.6,32.1,30.5,37.3,38.2,59.5,63.9,67.3,69.2,20.0,20.75,21.65,22.45,0.643,0.8240000000000001,1.25,1.77
Iran,12900.0,11400.0,13200.0,17400.0,18100.0,16700.0,15900.0,0.5720000000000001,0.6659999999999999,0.745,0.774,43.2,44.1,43.9,40.8,38.8,66.4,68.1,73.6,74.9,23.299999999999997,24.049999999999997,25.35,26.25,3.13,3.73,5.67,7.51
Iraq,34900.0,11600.0,12200.0,12500.0,13200.0,15000.0,16000.0,0.5720000000000001,0.607,0.649,0.649,29.9,28.6,28.6,29.2,29.5,61.0,65.9,66.7,71.6,25.65,26.450000000000003,26.9,27.549999999999997,3.34,2.74,3.08,3.28
Ireland,16200.0,21700.0,39400.0,45700.0,43500.0,60500.0,74100.0,0.762,0.857,0.909,0.9229999999999999,36.6,36.6,34.3,32.4,31.8,72.6,74.9,76.6,79.7,25.200000000000003,25.65,26.5,27.1,7.76,8.89,10.9,9.74
Israel,17100.0,20700.0,26800.0,29000.0,29700.0,32100.0,34400.0,0.785,0.85,0.883,0.899,36.3,35.8,38.8,41.9,41.4,75.2,77.4,78.7,80.9,24.6,25.35,26.4,27.200000000000003,5.71,8.16,10.1,9.72
Italy,24800.0,31100.0,36500.0,38000.0,36200.0,34300.0,36100.0,0.768,0.828,0.872,0.887,33.1,30.8,34.2,34.5,35.4,74.2,77.1,79.6,81.5,25.299999999999997,25.2,25.35,25.65,6.9,7.32,7.95,7.59
Jamaica,6040.0,7300.0,7940.0,8590.0,8020.0,8050.0,8350.0,0.6509999999999999,0.68,0.722,0.73,35.6,40.6,45.5,45.5,45.5,72.2,75.0,74.0,75.6,23.5,24.049999999999997,24.85,25.6,3.91,3.11,3.88,3.67
Japan,21600.0,30600.0,33900.0,36300.0,35800.0,37800.0,40100.0,0.8140000000000001,0.856,0.884,0.903,29.2,30.4,31.1,32.1,32.1,76.6,79.3,81.4,82.9,21.700000000000003,22.0,22.5,22.7,8.04,8.8,9.57,9.41
Jordan,8020.0,6290.0,7220.0,9630.0,9390.0,8410.0,8440.0,0.62,0.706,0.737,0.742,35.4,40.4,36.7,33.2,33.7,66.1,71.0,72.8,76.6,26.05,27.200000000000003,27.9,28.35,1.99,2.92,3.03,3.26
Kazakhstan,13100.0,13100.0,9950.0,19300.0,20100.0,23500.0,26000.0,0.69,0.685,0.7659999999999999,0.794,31.8,28.5,35.7,28.2,26.9,66.7,68.5,65.5,67.2,24.950000000000003,25.35,25.4,26.450000000000003,18.5,18.2,7.91,14.7
Kenya,2280.0,2350.0,2100.0,2300.0,2440.0,2800.0,3260.0,0.473,0.447,0.53,0.555,65.8,57.7,45.5,44.2,40.8,62.1,61.9,55.6,59.3,20.55,21.25,21.85,22.35,0.377,0.245,0.326,0.257
Kuwait,86600.0,40100.0,70100.0,93600.0,75400.0,70300.0,64300.0,0.713,0.7859999999999999,0.792,0.8,40.0,40.0,40.0,40.0,40.0,71.3,75.0,78.6,79.6,26.8,27.549999999999997,29.05,30.2,18.0,24.3,26.2,31.1
